index,phone_number,cluster,plan_name,category,estimated_cost,suitability,final_score,rank
18,356-2992,0,All-Rounder 299,All-Rounder,299.0,0.683,0.692,1
18,356-2992,0,Lite Value 149,Lite,170.05,0.542,0.686,2
18,356-2992,0,Day Saver 249,Day,268.52,0.549,0.64,3
19,373-2782,4,Lite Value 149,Lite,172.78,0.56,0.694,1
19,373-2782,4,All-Rounder 299,All-Rounder,299.84,0.677,0.689,2
19,373-2782,4,Day Saver 249,Day,267.27,0.571,0.652,3
20,396-5800,4,All-Rounder 299,All-Rounder,299.17,0.671,0.686,1
20,396-5800,4,Lite Value 149,Lite,177.24,0.5,0.661,2
20,396-5800,4,Night Owl 199,Night,238.07,0.503,0.632,3
21,393-7984,4,Lite Value 149,Lite,168.77,0.526,0.679,1
21,393-7984,4,Night Owl 199,Night,211.44,0.553,0.671,2
21,393-7984,4,All-Rounder 299,All-Rounder,299.0,0.625,0.663,3
22,358-1958,4,Lite Value 149,Lite,160.22,0.601,0.72,1
22,358-1958,4,All-Rounder 299,All-Rounder,299.0,0.636,0.669,2
22,358-1958,4,Day Saver 249,Day,259.84,0.582,0.661,3
23,350-2565,4,Lite Value 149,Lite,164.15,0.572,0.704,1
23,350-2565,4,All-Rounder 299,All-Rounder,299.0,0.659,0.68,2
23,350-2565,4,Night Owl 199,Night,216.81,0.537,0.66,3
24,343-4696,4,All-Rounder 299,All-Rounder,299.08,0.627,0.664,1
24,343-4696,4,Night Owl 199,Night,225.32,0.532,0.653,2
24,343-4696,4,Lite Value 149,Lite,180.52,0.469,0.644,3
25,331-3698,4,All-Rounder 299,All-Rounder,300.54,0.646,0.673,1
25,331-3698,4,Night Owl 199,Night,238.59,0.518,0.64,2
25,331-3698,4,Lite Value 149,Lite,186.74,0.459,0.636,3
26,357-3817,0,All-Rounder 299,All-Rounder,299.0,0.687,0.694,1
26,357-3817,0,Lite Value 149,Lite,171.76,0.547,0.688,2
26,357-3817,0,Day Saver 249,Day,268.13,0.56,0.646,3
27,418-6412,4,Lite Value 149,Lite,159.46,0.634,0.737,1
27,418-6412,4,All-Rounder 299,All-Rounder,300.32,0.673,0.686,2
27,418-6412,4,Day Saver 249,Day,258.32,0.554,0.648,3
28,353-2630,4,All-Rounder 299,All-Rounder,299.0,0.669,0.685,1
28,353-2630,4,Lite Value 149,Lite,174.99,0.51,0.668,2
28,353-2630,4,Day Saver 249,Day,273.15,0.536,0.631,3
29,410-7789,4,All-Rounder 299,All-Rounder,299.31,0.662,0.681,1
29,410-7789,4,Lite Value 149,Lite,171.93,0.524,0.676,2
29,410-7789,4,Night Owl 199,Night,228.84,0.504,0.638,3
30,416-8428,4,Night Owl 199,Night,214.21,0.575,0.68,1
30,416-8428,4,Lite Value 149,Lite,172.26,0.522,0.675,2
30,416-8428,4,All-Rounder 299,All-Rounder,300.18,0.621,0.66,3
31,370-3359,4,All-Rounder 299,All-Rounder,299.08,0.686,0.693,1
31,370-3359,4,Lite Value 149,Lite,181.76,0.511,0.665,2
31,370-3359,4,Day Saver 249,Day,275.64,0.549,0.637,3
32,383-1121,4,Night Owl 199,Night,232.19,0.562,0.665,1
32,383-1121,4,Lite Value 149,Lite,174.52,0.5,0.663,2
32,383-1121,4,All-Rounder 299,All-Rounder,299.73,0.594,0.647,3
33,360-1596,4,All-Rounder 299,All-Rounder,299.5,0.689,0.695,1
33,360-1596,4,Lite Value 149,Lite,194.96,0.48,0.643,2
33,360-1596,4,Unlimited Talk 399,Unlimited,402.3,0.657,0.627,3
34,395-2854,0,All-Rounder 299,All-Rounder,299.0,0.687,0.694,1
34,395-2854,0,Lite Value 149,Lite,172.51,0.524,0.676,2
34,395-2854,0,Night Owl 199,Night,235.88,0.51,0.637,3
35,362-1407,0,Lite Value 149,Lite,174.31,0.549,0.687,1
35,362-1407,0,All-Rounder 299,All-Rounder,300.32,0.673,0.686,2
35,362-1407,0,Day Saver 249,Day,268.95,0.565,0.648,3
36,341-9764,0,Lite Value 149,Lite,162.82,0.601,0.719,1
36,341-9764,0,All-Rounder 299,All-Rounder,300.26,0.683,0.691,2
36,341-9764,0,Day Saver 249,Day,261.62,0.55,0.644,3
37,353-3305,4,All-Rounder 299,All-Rounder,299.0,0.658,0.679,1
37,353-3305,4,Lite Value 149,Lite,177.35,0.494,0.658,2
37,353-3305,4,Night Owl 199,Night,231.59,0.52,0.644,3
38,402-1381,0,Lite Value 149,Lite,161.99,0.585,0.712,1
38,402-1381,0,All-Rounder 299,All-Rounder,299.14,0.652,0.676,2
38,402-1381,0,Day Saver 249,Day,259.99,0.58,0.66,3
39,332-9891,4,All-Rounder 299,All-Rounder,299.31,0.652,0.676,1
39,332-9891,4,Lite Value 149,Lite,178.56,0.492,0.657,2
39,332-9891,4,Night Owl 199,Night,239.44,0.49,0.625,3
40,372-9976,4,Lite Value 149,Lite,167.47,0.552,0.692,1
40,372-9976,4,All-Rounder 299,All-Rounder,299.0,0.674,0.688,2
40,372-9976,4,Night Owl 199,Night,223.76,0.52,0.648,3
41,383-6029,0,Lite Value 149,Lite,166.28,0.569,0.701,1
41,383-6029,0,All-Rounder 299,All-Rounder,300.29,0.667,0.683,2
41,383-6029,0,Day Saver 249,Day,264.66,0.555,0.645,3
42,353-7289,4,All-Rounder 299,All-Rounder,299.92,0.638,0.669,1
42,353-7289,4,Night Owl 199,Night,237.53,0.537,0.65,2
42,353-7289,4,Lite Value 149,Lite,191.57,0.436,0.622,3
43,390-7274,4,Lite Value 149,Lite,166.32,0.556,0.695,1
43,390-7274,4,All-Rounder 299,All-Rounder,299.0,0.649,0.675,2
43,390-7274,4,Night Owl 199,Night,216.22,0.53,0.657,3
44,352-1237,4,All-Rounder 299,All-Rounder,299.0,0.663,0.682,1
44,352-1237,4,Lite Value 149,Lite,179.23,0.481,0.651,2
44,352-1237,4,Night Owl 199,Night,233.94,0.528,0.647,3
45,353-3061,0,Lite Value 149,Lite,169.33,0.536,0.683,1
45,353-3061,0,All-Rounder 299,All-Rounder,299.0,0.661,0.681,2
45,353-3061,0,Night Owl 199,Night,228.04,0.496,0.634,3
46,363-5450,4,Lite Value 149,Lite,164.99,0.597,0.716,1
46,363-5450,4,All-Rounder 299,All-Rounder,299.9,0.666,0.683,2
46,363-5450,4,Day Saver 249,Day,261.8,0.581,0.66,3
47,364-1995,4,Lite Value 149,Lite,169.05,0.538,0.684,1
47,364-1995,4,All-Rounder 299,All-Rounder,299.0,0.661,0.681,2
47,364-1995,4,Night Owl 199,Night,230.18,0.535,0.652,3
48,398-1294,4,Lite Value 149,Lite,169.27,0.542,0.686,1
48,398-1294,4,All-Rounder 299,All-Rounder,299.0,0.66,0.681,2
48,398-1294,4,Day Saver 249,Day,267.6,0.535,0.634,3
49,405-7146,0,Lite Value 149,Lite,164.24,0.572,0.704,1
49,405-7146,0,All-Rounder 299,All-Rounder,299.28,0.627,0.664,2
49,405-7146,0,Day Saver 249,Day,262.63,0.543,0.64,3
50,413-4957,4,All-Rounder 299,All-Rounder,299.0,0.678,0.69,1
50,413-4957,4,Lite Value 149,Lite,182.16,0.481,0.649,2
50,413-4957,4,Night Owl 199,Night,247.41,0.499,0.626,3
51,420-5645,4,All-Rounder 299,All-Rounder,299.0,0.686,0.694,1
51,420-5645,4,Lite Value 149,Lite,180.89,0.505,0.662,2
51,420-5645,4,Day Saver 249,Day,275.8,0.545,0.635,3
52,349-4396,4,All-Rounder 299,All-Rounder,299.39,0.661,0.681,1
52,349-4396,4,Lite Value 149,Lite,179.95,0.493,0.657,2
52,349-4396,4,Night Owl 199,Night,237.97,0.535,0.649,3
53,404-3211,4,All-Rounder 299,All-Rounder,299.0,0.666,0.683,1
53,404-3211,4,Lite Value 149,Lite,181.58,0.479,0.649,2
53,404-3211,4,Night Owl 199,Night,241.91,0.503,0.631,3
54,353-3759,4,All-Rounder 299,All-Rounder,299.0,0.673,0.687,1
54,353-3759,4,Lite Value 149,Lite,174.46,0.512,0.669,2
54,353-3759,4,Night Owl 199,Night,234.65,0.506,0.636,3
55,363-5947,4,All-Rounder 299,All-Rounder,299.06,0.669,0.685,1
55,363-5947,4,Lite Value 149,Lite,184.21,0.473,0.644,2
55,363-5947,4,Night Owl 199,Night,242.77,0.519,0.638,3
56,340-5121,4,Lite Value 149,Lite,163.64,0.578,0.707,1
56,340-5121,4,All-Rounder 299,All-Rounder,299.0,0.672,0.687,2
56,340-5121,4,Day Saver 249,Day,262.52,0.529,0.633,3
57,370-7574,0,Lite Value 149,Lite,158.98,0.601,0.721,1
57,370-7574,0,All-Rounder 299,All-Rounder,299.0,0.635,0.668,2
57,370-7574,0,Day Saver 249,Day,258.74,0.589,0.665,3
58,403-9733,4,Lite Value 149,Lite,170.5,0.535,0.682,1
58,403-9733,4,All-Rounder 299,All-Rounder,299.59,0.645,0.673,2
58,403-9733,4,Day Saver 249,Day,268.55,0.53,0.631,3
59,355-7251,4,All-Rounder 299,All-Rounder,299.56,0.679,0.69,1
59,355-7251,4,Lite Value 149,Lite,174.78,0.552,0.689,2
59,355-7251,4,Day Saver 249,Day,268.26,0.569,0.65,3
60,359-5893,4,Lite Value 149,Lite,166.3,0.569,0.701,1
60,359-5893,4,All-Rounder 299,All-Rounder,299.39,0.687,0.694,2
60,359-5893,4,Day Saver 249,Day,265.14,0.561,0.648,3
61,405-3371,0,Lite Value 149,Lite,179.51,0.568,0.694,1
61,405-3371,0,All-Rounder 299,All-Rounder,299.45,0.658,0.679,2
61,405-3371,0,Day Saver 249,Day,265.92,0.59,0.662,3
62,344-5117,0,All-Rounder 299,All-Rounder,300.29,0.662,0.681,1
62,344-5117,0,Lite Value 149,Lite,172.08,0.531,0.679,2
62,344-5117,0,Day Saver 249,Day,270.04,0.55,0.64,3
63,332-8160,0,All-Rounder 299,All-Rounder,299.73,0.665,0.683,1
63,332-8160,0,Lite Value 149,Lite,178.36,0.501,0.661,2
63,332-8160,0,Night Owl 199,Night,237.09,0.531,0.647,3
64,359-4081,4,Lite Value 149,Lite,163.81,0.577,0.707,1
64,359-4081,4,All-Rounder 299,All-Rounder,299.0,0.684,0.693,2
64,359-4081,4,Night Owl 199,Night,223.79,0.505,0.641,3
65,352-8305,0,All-Rounder 299,All-Rounder,299.0,0.672,0.687,1
65,352-8305,0,Lite Value 149,Lite,169.34,0.536,0.683,2
65,352-8305,0,Night Owl 199,Night,226.98,0.525,0.649,3
66,329-9847,4,Lite Value 149,Lite,178.31,0.552,0.687,1
66,329-9847,4,All-Rounder 299,All-Rounder,299.0,0.67,0.685,2
66,329-9847,4,Day Saver 249,Day,267.54,0.577,0.655,3
67,365-9011,4,Lite Value 149,Lite,165.23,0.566,0.7,1
67,365-9011,4,All-Rounder 299,All-Rounder,299.0,0.654,0.677,2
67,365-9011,4,Day Saver 249,Day,263.83,0.525,0.631,3
68,338-9472,4,Lite Value 149,Lite,170.62,0.55,0.69,1
68,338-9472,4,All-Rounder 299,All-Rounder,299.0,0.673,0.687,2
68,338-9472,4,Day Saver 249,Day,267.06,0.56,0.646,3
69,374-8042,4,Lite Value 149,Lite,165.19,0.581,0.708,1
69,374-8042,4,All-Rounder 299,All-Rounder,300.06,0.688,0.694,2
69,374-8042,4,Day Saver 249,Day,263.94,0.56,0.648,3
70,359-1231,4,All-Rounder 299,All-Rounder,299.5,0.665,0.683,1
70,359-1231,4,Lite Value 149,Lite,186.88,0.499,0.656,2
70,359-1231,4,Night Owl 199,Night,245.76,0.531,0.643,3
71,413-7170,0,All-Rounder 299,All-Rounder,299.59,0.68,0.69,1
71,413-7170,0,Lite Value 149,Lite,181.63,0.512,0.665,2
71,413-7170,0,Day Saver 249,Day,275.79,0.55,0.637,3
72,415-2935,4,Lite Value 149,Lite,172.45,0.582,0.705,1
72,415-2935,4,All-Rounder 299,All-Rounder,299.0,0.659,0.68,2
72,415-2935,4,Day Saver 249,Day,262.89,0.589,0.663,3
73,399-4246,4,Lite Value 149,Lite,169.86,0.544,0.687,1
73,399-4246,4,All-Rounder 299,All-Rounder,299.0,0.672,0.687,2
73,399-4246,4,Day Saver 249,Day,267.69,0.555,0.644,3
74,362-5889,4,Lite Value 149,Lite,173.82,0.565,0.696,1
74,362-5889,4,All-Rounder 299,All-Rounder,299.56,0.67,0.685,2
74,362-5889,4,Day Saver 249,Day,266.33,0.577,0.655,3
75,350-8921,4,All-Rounder 299,All-Rounder,299.0,0.674,0.688,1
75,350-8921,4,Lite Value 149,Lite,171.42,0.524,0.676,2
75,350-8921,4,Day Saver 249,Day,269.94,0.527,0.629,3
76,374-5353,4,All-Rounder 299,All-Rounder,299.52,0.665,0.683,1
76,374-5353,4,Lite Value 149,Lite,195.91,0.513,0.659,2
76,374-5353,4,Day Saver 249,Day,276.58,0.55,0.637,3
77,360-1171,4,Lite Value 149,Lite,158.92,0.579,0.71,1
77,360-1171,4,Night Owl 199,Night,203.71,0.585,0.691,2
77,360-1171,4,All-Rounder 299,All-Rounder,299.0,0.612,0.657,3
78,355-8887,4,Lite Value 149,Lite,168.35,0.567,0.699,1
78,355-8887,4,All-Rounder 299,All-Rounder,299.0,0.679,0.69,2
78,355-8887,4,Day Saver 249,Day,264.84,0.569,0.652,3
79,333-1967,4,All-Rounder 299,All-Rounder,300.4,0.667,0.683,1
79,333-1967,4,Lite Value 149,Lite,172.18,0.536,0.682,2
79,333-1967,4,Night Owl 199,Night,232.06,0.529,0.648,3
80,354-4577,4,All-Rounder 299,All-Rounder,300.18,0.666,0.683,1
80,354-4577,4,Lite Value 149,Lite,186.17,0.474,0.644,2
80,354-4577,4,Unlimited Talk 399,Unlimited,402.7,0.641,0.619,3
81,331-7425,4,All-Rounder 299,All-Rounder,299.73,0.673,0.687,1
81,331-7425,4,Lite Value 149,Lite,184.13,0.493,0.654,2
81,331-7425,4,Night Owl 199,Night,245.38,0.523,0.639,3
82,419-2637,0,Lite Value 149,Lite,163.7,0.586,0.711,1
82,419-2637,0,All-Rounder 299,All-Rounder,299.28,0.683,0.692,2
82,419-2637,0,Day Saver 249,Day,262.9,0.554,0.646,3
83,411-1530,0,All-Rounder 299,All-Rounder,299.0,0.689,0.695,1
83,411-1530,0,Lite Value 149,Lite,189.29,0.499,0.655,2
83,411-1530,0,Unlimited Talk 399,Unlimited,401.74,0.666,0.632,3
84,395-3026,4,All-Rounder 299,All-Rounder,299.67,0.679,0.69,1
84,395-3026,4,Lite Value 149,Lite,178.94,0.512,0.667,2
84,395-3026,4,Day Saver 249,Day,275.04,0.545,0.635,3
85,388-6441,0,All-Rounder 299,All-Rounder,300.84,0.656,0.678,1
85,388-6441,0,Night Owl 199,Night,240.13,0.541,0.65,2
85,388-6441,0,Lite Value 149,Lite,186.64,0.463,0.638,3
86,402-1251,4,Lite Value 149,Lite,166.02,0.562,0.698,1
86,402-1251,4,All-Rounder 299,All-Rounder,299.0,0.682,0.692,2
86,402-1251,4,Night Owl 199,Night,227.58,0.515,0.644,3
87,412-9997,4,All-Rounder 299,All-Rounder,299.56,0.689,0.695,1
87,412-9997,4,Lite Value 149,Lite,174.5,0.537,0.681,2
87,412-9997,4,Day Saver 249,Day,270.37,0.557,0.643,3
88,346-7302,0,Lite Value 149,Lite,165.04,0.575,0.705,1
88,346-7302,0,All-Rounder 299,All-Rounder,299.25,0.664,0.682,2
88,346-7302,0,Night Owl 199,Night,224.03,0.532,0.654,3
89,358-9095,4,All-Rounder 299,All-Rounder,300.09,0.689,0.694,1
89,358-9095,4,Lite Value 149,Lite,185.92,0.508,0.661,2
89,358-9095,4,Day Saver 249,Day,277.07,0.549,0.636,3
90,400-9770,4,Lite Value 149,Lite,163.0,0.587,0.712,1
90,400-9770,4,All-Rounder 299,All-Rounder,299.31,0.659,0.68,2
90,400-9770,4,Day Saver 249,Day,261.61,0.544,0.641,3
91,334-1275,4,All-Rounder 299,All-Rounder,299.0,0.695,0.698,1
91,334-1275,4,Lite Value 149,Lite,171.15,0.539,0.684,2
91,334-1275,4,Day Saver 249,Day,269.27,0.553,0.642,3
92,340-4953,4,All-Rounder 299,All-Rounder,299.0,0.649,0.675,1
92,340-4953,4,Lite Value 149,Lite,174.15,0.507,0.666,2
92,340-4953,4,Night Owl 199,Night,223.66,0.547,0.662,3
93,400-9510,4,All-Rounder 299,All-Rounder,299.0,0.671,0.686,1
93,400-9510,4,Lite Value 149,Lite,185.79,0.517,0.666,2
93,400-9510,4,Day Saver 249,Day,275.11,0.559,0.642,3
94,387-6103,4,Lite Value 149,Lite,164.22,0.581,0.708,1
94,387-6103,4,All-Rounder 299,All-Rounder,299.17,0.671,0.686,2
94,387-6103,4,Day Saver 249,Day,262.89,0.559,0.648,3
95,366-4467,4,Lite Value 149,Lite,172.57,0.59,0.709,1
95,366-4467,4,Day Saver 249,Day,258.06,0.627,0.684,2
95,366-4467,4,All-Rounder 299,All-Rounder,299.0,0.62,0.661,3
96,370-3450,4,All-Rounder 299,All-Rounder,299.84,0.676,0.688,1
96,370-3450,4,Lite Value 149,Lite,171.9,0.533,0.681,2
96,370-3450,4,Day Saver 249,Day,270.25,0.533,0.631,3
97,327-3954,4,All-Rounder 299,All-Rounder,299.0,0.693,0.697,1
97,327-3954,4,Lite Value 149,Lite,171.6,0.532,0.68,2
97,327-3954,4,Day Saver 249,Day,270.18,0.548,0.639,3
98,355-6291,4,All-Rounder 299,All-Rounder,299.0,0.681,0.691,1
98,355-6291,4,Lite Value 149,Lite,170.53,0.547,0.688,2
98,355-6291,4,Day Saver 249,Day,267.05,0.559,0.646,3
99,362-9748,4,All-Rounder 299,All-Rounder,299.0,0.68,0.691,1
99,362-9748,4,Lite Value 149,Lite,189.55,0.5,0.655,2
99,362-9748,4,Night Owl 199,Night,251.14,0.514,0.631,3
100,379-6506,0,All-Rounder 299,All-Rounder,299.0,0.657,0.679,1
100,379-6506,0,Lite Value 149,Lite,171.65,0.521,0.675,2
100,379-6506,0,Day Saver 249,Day,269.95,0.527,0.629,3
101,347-7741,4,Lite Value 149,Lite,165.48,0.58,0.707,1
101,347-7741,4,All-Rounder 299,All-Rounder,300.29,0.673,0.686,2
101,347-7741,4,Day Saver 249,Day,264.01,0.56,0.648,3
102,354-3783,4,Lite Value 149,Lite,162.26,0.596,0.717,1
102,354-3783,4,All-Rounder 299,All-Rounder,299.14,0.673,0.687,2
102,354-3783,4,Night Owl 199,Night,222.95,0.524,0.651,3
103,401-7594,4,All-Rounder 299,All-Rounder,299.7,0.659,0.68,1
103,401-7594,4,Lite Value 149,Lite,175.89,0.506,0.665,2
103,401-7594,4,Night Owl 199,Night,228.33,0.538,0.655,3
104,397-4976,4,All-Rounder 299,All-Rounder,299.36,0.665,0.683,1
104,397-4976,4,Lite Value 149,Lite,174.85,0.515,0.67,2
104,397-4976,4,Night Owl 199,Night,233.15,0.532,0.649,3
105,334-2577,4,All-Rounder 299,All-Rounder,299.5,0.678,0.689,1
105,334-2577,4,Lite Value 149,Lite,177.35,0.547,0.685,2
105,334-2577,4,Day Saver 249,Day,269.15,0.57,0.65,3
106,400-3637,0,All-Rounder 299,All-Rounder,299.0,0.665,0.683,1
106,400-3637,0,Lite Value 149,Lite,185.47,0.545,0.68,2
106,400-3637,0,Day Saver 249,Day,269.44,0.583,0.657,3
107,383-4361,0,Lite Value 149,Lite,170.29,0.532,0.681,1
107,383-4361,0,All-Rounder 299,All-Rounder,299.0,0.659,0.68,2
107,383-4361,0,Night Owl 199,Night,222.1,0.537,0.657,3
108,371-4306,0,Lite Value 149,Lite,167.28,0.556,0.694,1
108,371-4306,0,All-Rounder 299,All-Rounder,299.03,0.657,0.679,2
108,371-4306,0,Night Owl 199,Night,223.71,0.539,0.658,3
109,403-4298,4,All-Rounder 299,All-Rounder,299.0,0.664,0.683,1
109,403-4298,4,Lite Value 149,Lite,176.37,0.534,0.679,2
109,403-4298,4,Day Saver 249,Day,270.14,0.564,0.647,3
110,409-3786,4,All-Rounder 299,All-Rounder,300.38,0.623,0.661,1
110,409-3786,4,Lite Value 149,Lite,175.3,0.486,0.655,2
110,409-3786,4,Day Saver 249,Day,272.79,0.525,0.626,3
111,337-4697,4,All-Rounder 299,All-Rounder,299.73,0.686,0.693,1
111,337-4697,4,Lite Value 149,Lite,177.64,0.505,0.664,2
111,337-4697,4,Night Owl 199,Night,242.13,0.506,0.632,3
112,383-1509,4,All-Rounder 299,All-Rounder,299.59,0.675,0.688,1
112,383-1509,4,Lite Value 149,Lite,174.73,0.516,0.671,2
112,383-1509,4,Night Owl 199,Night,233.76,0.521,0.644,3
113,359-9794,4,All-Rounder 299,All-Rounder,299.92,0.656,0.678,1
113,359-9794,4,Lite Value 149,Lite,178.64,0.492,0.657,2
113,359-9794,4,Night Owl 199,Night,229.78,0.535,0.653,3
114,407-7035,4,Lite Value 149,Lite,170.11,0.524,0.677,1
114,407-7035,4,Night Owl 199,Night,211.96,0.556,0.672,2
114,407-7035,4,All-Rounder 299,All-Rounder,299.0,0.623,0.662,3
115,363-1069,0,All-Rounder 299,All-Rounder,301.8,0.66,0.679,1
115,363-1069,0,Lite Value 149,Lite,174.72,0.523,0.674,2
115,363-1069,0,Day Saver 249,Day,272.37,0.55,0.639,3
116,391-4652,4,Lite Value 149,Lite,158.77,0.635,0.738,1
116,391-4652,4,All-Rounder 299,All-Rounder,300.18,0.634,0.667,2
116,391-4652,4,Day Saver 249,Day,257.68,0.59,0.666,3
117,355-6837,4,All-Rounder 299,All-Rounder,299.0,0.665,0.683,1
117,355-6837,4,Lite Value 149,Lite,185.85,0.544,0.679,2
117,355-6837,4,Day Saver 249,Day,269.42,0.583,0.657,3
118,409-1244,0,Lite Value 149,Lite,165.71,0.565,0.7,1
118,409-1244,0,All-Rounder 299,All-Rounder,299.0,0.67,0.685,2
118,409-1244,0,Night Owl 199,Night,220.57,0.522,0.651,3
119,328-3266,4,Lite Value 149,Lite,174.76,0.553,0.689,1
119,328-3266,4,All-Rounder 299,All-Rounder,299.0,0.664,0.683,2
119,328-3266,4,Day Saver 249,Day,266.1,0.575,0.654,3
120,352-7072,4,All-Rounder 299,All-Rounder,299.87,0.69,0.695,1
120,352-7072,4,Lite Value 149,Lite,177.77,0.518,0.67,2
120,352-7072,4,Day Saver 249,Day,274.13,0.548,0.637,3
121,370-7550,0,Lite Value 149,Lite,162.19,0.61,0.724,1
121,370-7550,0,All-Rounder 299,All-Rounder,299.0,0.661,0.681,2
121,370-7550,0,Day Saver 249,Day,259.0,0.586,0.663,3
122,369-5526,4,All-Rounder 299,All-Rounder,299.0,0.684,0.693,1
122,369-5526,4,Lite Value 149,Lite,172.57,0.528,0.678,2
122,369-5526,4,Night Owl 199,Night,237.48,0.512,0.637,3
123,329-4391,4,Lite Value 149,Lite,157.23,0.646,0.744,1
123,329-4391,4,All-Rounder 299,All-Rounder,299.45,0.668,0.684,2
123,329-4391,4,Day Saver 249,Day,256.44,0.58,0.662,3
124,408-4195,4,Lite Value 149,Lite,165.7,0.554,0.694,1
124,408-4195,4,All-Rounder 299,All-Rounder,299.0,0.648,0.675,2
124,408-4195,4,Night Owl 199,Night,221.92,0.548,0.663,3
125,354-4445,4,All-Rounder 299,All-Rounder,299.56,0.685,0.693,1
125,354-4445,4,Lite Value 149,Lite,181.28,0.492,0.655,2
125,354-4445,4,Night Owl 199,Night,245.62,0.512,0.633,3
126,335-4858,4,Lite Value 149,Lite,163.14,0.577,0.707,1
126,335-4858,4,All-Rounder 299,All-Rounder,299.0,0.643,0.672,2
126,335-4858,4,Night Owl 199,Night,212.54,0.526,0.657,3
127,414-8718,0,Lite Value 149,Lite,168.28,0.547,0.689,1
127,414-8718,0,All-Rounder 299,All-Rounder,299.0,0.672,0.687,2
127,414-8718,0,Night Owl 199,Night,231.39,0.525,0.647,3
128,409-5939,4,Lite Value 149,Lite,168.81,0.538,0.685,1
