phone_number,account_length,vmail_message,day_mins,day_calls,day_charge,eve_mins,eve_calls,eve_charge,night_mins,night_calls,night_charge,intl_mins,intl_calls,intl_charge,custserv_calls,churn,total_mins,total_calls,total_charge,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,avg_mins_per_call,Cluster
386-2923,93,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,546.6,349.0,58.989999999999995,0.3488840102451518,0.39919502378338817,0.23710208562019758,0.014818880351262349,1.566189111747851,4
356-2992,76,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,578.2,244.0,60.50000000000001,0.3280871670702179,0.36803874092009686,0.28657903839501897,0.017295053614666205,2.3696721311475413,0
373-2782,73,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,589.7,254.0,63.9,0.3805324741393929,0.2704765134814312,0.3269459046973037,0.022045107681872136,2.321653543307087,4
396-5800,147,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,614.1999999999999,347.0,59.0,0.2525236079452947,0.39026375773363725,0.3399544122435689,0.017258222077499188,1.7700288184438038,4
393-7984,77,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,447.59999999999997,280.0,36.019999999999996,0.13941018766756033,0.3795799821268991,0.4682752457551385,0.012734584450402146,1.5985714285714285,4
358-1958,130,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,447.20000000000005,308.0,48.06,0.40921288014311263,0.16301431127012522,0.40652951699463324,0.0212432915921288,1.451948051948052,4
350-2565,111,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,445.0,316.0,41.05,0.24808988764044945,0.30853932584269667,0.4260674157303371,0.017303370786516854,1.4082278481012658,4
343-4696,132,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,573.5999999999999,275.0,48.08,0.14138772663877266,0.4274755927475593,0.4131799163179917,0.017956764295676435,2.0858181818181816,4
331-3698,174,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,667.6,308.0,60.15,0.18618933493109646,0.41506890353505094,0.3755242660275614,0.02321749550629119,2.1675324675324674,4
357-3817,57,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,596.3,345.0,63.24,0.3572027502934765,0.32047627033372467,0.3063894013080664,0.01593157806473252,1.728405797101449,0
418-6412,54,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,406.59999999999997,245.0,44.61,0.3303000491883916,0.38243974422036403,0.2511067388096409,0.03615346778160354,1.6595918367346938,4
353-2630,20,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,636.0,301.0,64.12,0.29874213836477986,0.40597484276729556,0.28537735849056606,0.00990566037735849,2.1129568106312293,4
410-7789,49,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,524.1999999999999,317.0,49.6,0.2275848912628768,0.4103395650515071,0.34090041968714235,0.021175123998473867,1.6536277602523657,4
416-8428,142,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,486.2,312.0,41.14,0.174413821472645,0.2811600164541341,0.5152200740436035,0.029206088029617442,1.5583333333333333,4
370-3359,75,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,684.0999999999999,315.0,69.42999999999999,0.3305072357842421,0.2945475807630464,0.3598889051308289,0.015056278321882768,2.1717460317460313,4
383-1121,172,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,549.1,324.0,55.29,0.3860863230741213,0.05682025132034237,0.5341467856492442,0.022946639956292113,1.694753086419753,4
360-1596,12,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,794.0,330.0,79.67999999999999,0.31435768261964736,0.3178841309823678,0.352896725440806,0.014861460957178841,2.4060606060606062,4
395-2854,57,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,593.5999999999999,289.0,58.49,0.29784366576819415,0.3285040431266847,0.35966981132075476,0.01398247978436658,2.0539792387543248,0
362-1407,72,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,604.8000000000001,259.0,66.72,0.3637566137566137,0.359292328042328,0.2526455026455026,0.024305555555555552,2.3351351351351353,0
341-9764,36,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,452.6,323.0,48.42,0.3232434821034026,0.35903667697746355,0.2856827220503756,0.032037118868758284,1.4012383900928793,0
353-3305,78,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,592.3,293.0,54.2,0.22083403680567285,0.3776802296133716,0.384602397433733,0.01688333614722269,2.0215017064846417,4
402-1381,136,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,503.7,318.0,58.03,0.40480444709152275,0.372443915028787,0.20190589636688505,0.02084574151280524,1.5839622641509434,0
332-9891,149,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,611.6,303.0,58.44,0.22956180510137345,0.44440810987573576,0.3078809679529104,0.01814911706998038,2.0184818481848184,4
372-9976,98,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,490.3,324.0,46.63999999999999,0.25759738935345705,0.34019987762594334,0.38303079747093616,0.019171935549663472,1.5132716049382717,4
383-6029,135,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,513.8,285.0,56.199999999999996,0.3369015181004282,0.3968470221876217,0.2378357337485403,0.02841572596340989,1.8028070175438595,0
353-7289,34,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,728.5,262.0,61.92999999999999,0.17131091283459163,0.38737131091283455,0.42759094028826355,0.013726835964310227,2.780534351145038,4
390-7274,160,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,438.8,283.0,39.15,0.19553327256153144,0.37670920692798543,0.4067912488605287,0.02096627164995442,1.550530035335689,4
352-1237,64,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,648.6,274.0,58.260000000000005,0.23743447425223557,0.34813444341658956,0.40903484427998765,0.005396238051187172,2.367153284671533,4
353-3061,59,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,505.5,310.0,48.3,0.23916913946587537,0.42136498516320475,0.32265084075173095,0.016815034619188922,1.6306451612903226,0
363-5450,65,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,521.8,365.0,59.36000000000001,0.4049444231506325,0.3116136450747413,0.25814488309697203,0.025297048677654276,1.4295890410958902,4
364-1995,142,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,571.1999999999999,339.0,56.129999999999995,0.32738095238095244,0.23564425770308126,0.4240196078431373,0.012955182072829134,1.6849557522123892,4
398-1294,119,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,542.3999999999999,325.0,55.53,0.29332595870206496,0.4264380530973453,0.26401179941002956,0.01622418879056048,1.6689230769230765,4
405-7146,97,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,432.0,275.0,47.25,0.3083333333333333,0.5027777777777778,0.16342592592592592,0.02546296296296296,1.5709090909090908,0
413-4957,52,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,706.3,296.0,68.32,0.271697578932465,0.3819906555288122,0.3352682995894096,0.011043465949313323,2.3861486486486485,4
420-5645,60,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,687.5,304.0,68.49000000000001,0.32087272727272725,0.30705454545454547,0.36218181818181816,0.00989090909090909,2.2615131578947367,4
349-4396,10,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,670.4999999999999,241.0,63.620000000000005,0.2775540641312454,0.28366890380313203,0.4217747949291574,0.01700223713646533,2.782157676348547,4
404-3211,96,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,665.5,257.0,62.76,0.2407212622088655,0.4019534184823441,0.34335086401202103,0.013974455296769347,2.5894941634241246,4
353-3759,87,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,584.3000000000001,329.0,56.14,0.258428889269211,0.3760054766387129,0.34896457299332534,0.01660106109875064,1.775987841945289,4
363-5947,81,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,705.2,253.0,65.94,0.24886557005104934,0.353516732841747,0.3831537152580828,0.014463981849120814,2.787351778656127,4
340-5121,141,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,455.7,290.0,45.370000000000005,0.2784726793943384,0.39499670836076367,0.3089752029844196,0.017555409260478386,1.5713793103448275,4
370-7574,121,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,460.7,286.0,49.849999999999994,0.4306490123724767,0.16344692858693294,0.39331452138050793,0.012589537660082483,1.6108391608391608,0
403-9733,68,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,537.2,340.0,55.36000000000001,0.27699180938198065,0.45886075949367083,0.24162323157110946,0.022524199553239015,1.58,4
355-7251,125,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,608.0,332.0,65.82,0.37713815789473687,0.2917763157894737,0.31134868421052636,0.019736842105263157,1.8313253012048192,4
359-5893,174,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,540.0,249.0,57.67999999999999,0.35574074074074075,0.31462962962962965,0.3085185185185185,0.021111111111111112,2.1686746987951806,4
405-3371,116,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,624.7,334.0,71.41999999999999,0.42996638386425484,0.2852569233231951,0.26620777973427245,0.01856891307827757,1.870359281437126,0
344-5117,74,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,592.4,282.0,64.0,0.32697501688048614,0.41542876434841325,0.23295070898041864,0.02464550979068197,2.100709219858156,0
332-8160,149,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,646.6,212.0,62.029999999999994,0.27946180018558614,0.2904423136405815,0.4106093411691927,0.01948654500463965,3.0500000000000003,0
359-4081,38,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,461.3,307.0,45.51,0.28441361370041185,0.3531324517667462,0.3446780836765662,0.01777585085627574,1.5026058631921824,4
352-8305,40,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,537.9000000000001,269.0,50.89000000000001,0.27532998698642863,0.31511433351924145,0.39802937348949613,0.011526306004833611,1.9996282527881044,0
329-9847,43,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,631.4,280.0,70.46,0.39832119100411784,0.3370288248337029,0.24992081089642068,0.014729173265758634,2.255,4
365-9011,113,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,469.20000000000005,359.0,46.88,0.2668371696504689,0.43989769820971864,0.2755754475703325,0.017689684569479967,1.3069637883008358,4
338-9472,126,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,589.8,211.0,63.42999999999999,0.35876568328246866,0.36775178026449645,0.2602577144794846,0.013224821973550356,2.7952606635071087,4
374-8042,150,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,510.40000000000003,314.0,55.199999999999996,0.3505094043887147,0.33130877742946707,0.2911442006269592,0.027037617554858933,1.6254777070063695,4
359-1231,138,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,719.4,287.0,72.08,0.33611342785654713,0.23700305810397554,0.410480956352516,0.016402557686961357,2.5066202090592333,4
413-7170,162,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,679.8000000000001,244.0,68.96,0.33083259782288904,0.2768461312150632,0.37452191821123854,0.017799352750809058,2.7860655737704922,0
415-2935,147,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,578.0,281.0,64.84,0.4301038062283737,0.25761245674740485,0.2984429065743945,0.01384083044982699,2.0569395017793592,4
399-4246,90,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,589.8,372.0,62.67999999999999,0.3448626653102747,0.3843675822312648,0.25839267548321465,0.012377076975245847,1.585483870967742,4
362-5889,85,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,593.2,305.0,65.16,0.39750505731625085,0.2650033715441672,0.3172623061362103,0.020229265003371542,1.9449180327868854,4
350-8921,50,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,567.9,275.0,55.49999999999999,0.2766332100721958,0.39320302870223633,0.3194224335270294,0.010741327698538475,2.065090909090909,4
374-5353,82,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,763.1000000000001,286.0,81.75,0.39352640545144796,0.2371904075481588,0.3539509893854016,0.015332197614991478,2.668181818181819,4
360-1171,144,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,319.9,308.0,27.02,0.1925601750547046,0.24101281650515785,0.5407939981244139,0.025633010315723664,1.0386363636363636,4
355-8887,46,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,564.2,292.0,60.57,0.37947536334633103,0.2913860333215172,0.31460475008862104,0.01453385324353066,1.932191780821918,4
333-1967,70,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,569.0,278.0,56.459999999999994,0.2991212653778559,0.2727592267135325,0.40175746924428823,0.026362038664323375,2.0467625899280577,4
354-4577,144,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,741.8000000000001,294.0,73.63,0.27109733081693177,0.4091399299002426,0.30196818549474247,0.017794553788083037,2.5231292517006807,4
331-7425,116,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,711.3000000000001,297.0,69.96000000000001,0.3028258118937157,0.28792352031491636,0.39153662308449316,0.017714044706874734,2.394949494949495,4
419-2637,55,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,488.4,310.0,50.599999999999994,0.3390663390663391,0.2786650286650287,0.35974610974610977,0.022522522522522525,1.575483870967742,0
411-1530,70,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,741.6999999999999,271.0,77.16000000000001,0.3363893757583929,0.35014156667116086,0.3002561682621006,0.013212889308345695,2.7369003690036897,0
395-3026,106,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,663.5999999999999,270.0,68.94,0.3173598553345389,0.3755274261603376,0.28842676311030746,0.018685955394816156,2.4577777777777774,4
388-6441,128,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,736.8000000000001,275.0,66.53999999999999,0.24334961997828447,0.3065960912052117,0.4383821932681867,0.011672095548317045,2.6792727272727275,0
402-1251,94,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,510.5,295.0,50.709999999999994,0.3093046033300686,0.3036238981390793,0.3714005876591577,0.015670910871694418,1.730508474576271,4
412-9997,111,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,617.2,294.0,65.6,0.34721322099805574,0.33781594296824363,0.2955281918340894,0.019442644199611146,2.0993197278911566,4
346-7302,74,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,490.5,254.0,48.72,0.31416921508664625,0.2515800203873598,0.41202854230377167,0.022222222222222223,1.9311023622047243,0
358-9095,128,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,708.3,290.0,74.64,0.33587462939432444,0.34956939150077654,0.2949315261894678,0.019624452915431315,2.442413793103448,4
400-9770,82,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,459.5,262.0,48.96,0.3131664853101197,0.42415669205658324,0.2385201305767138,0.024156692056583242,1.7538167938931297,4
334-1275,155,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,599.1999999999999,327.0,62.03,0.33945260347129513,0.3185914552736983,0.3271028037383178,0.014853137516688921,1.8324159021406725,4
340-4953,80,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,558.4,278.0,49.36000000000001,0.2226002865329513,0.3098137535816619,0.45343839541547276,0.014147564469914041,2.0086330935251797,4
400-9510,78,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,704.7,317.0,72.6,0.35887611749680715,0.25315737193131826,0.3744855967078189,0.013480913864055626,2.2230283911671926,4
387-6103,90,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,508.0,250.0,55.26,0.3525590551181102,0.37519685039370076,0.2513779527559055,0.020866141732283464,2.032,4
366-4467,104,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,532.3999999999999,361.0,64.21000000000001,0.5229151014274982,0.15214124718256952,0.3065364387678438,0.01840721262208866,1.4747922437673127,4
370-3450,73,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,560.5,258.0,56.68999999999999,0.2856378233719893,0.3805530776092774,0.3106155218554862,0.0231935771632471,2.1724806201550386,4
327-3954,99,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,605.1,279.0,62.25000000000001,0.3275491654272021,0.34258800198314326,0.31548504379441417,0.014377788795240454,2.1688172043010754,4
355-6291,120,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,594.0,336.0,62.809999999999995,0.35707070707070704,0.3525252525252525,0.28148148148148144,0.008922558922558922,1.7678571428571428,4
362-9748,77,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,742.5,314.0,75.32000000000001,0.33912457912457916,0.277037037037037,0.3706397306397306,0.0131986531986532,2.3646496815286624,4
379-6506,98,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,577.9999999999999,297.0,57.24,0.2788927335640139,0.4363321799307959,0.2771626297577855,0.007612456747404846,1.9461279461279457,0
347-7741,108,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,511.0,320.0,56.129999999999995,0.3489236790606654,0.3698630136986301,0.2526418786692759,0.02857142857142857,1.596875,4
354-3783,135,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,461.2,293.0,46.849999999999994,0.32892454466608845,0.2580225498699046,0.39028620988725066,0.02276669557675629,1.574061433447099,4
401-7594,95,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,576.4000000000001,316.0,52.980000000000004,0.2342123525329632,0.3185287994448299,0.4255725190839694,0.021686328938237333,1.8240506329113928,4
397-4976,122,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,604.0999999999999,280.0,57.989999999999995,0.2822380400595928,0.2875351762953154,0.4115212713126966,0.018705512332395303,2.1574999999999998,4
334-2577,95,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,627.0999999999999,282.0,68.13,0.3796842608834317,0.2985169829373306,0.3029819805453676,0.0188167756338702,2.2237588652482265,4
400-3637,36,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,679.8,297.0,75.88000000000001,0.4139452780229479,0.2974404236540159,0.27537511032656664,0.01323918799646955,2.2888888888888888,0
383-4361,93,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,509.2,335.0,46.42999999999999,0.23153967007069914,0.3230557737627651,0.4261586802827966,0.0192458758837392,1.52,0
371-4306,141,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,509.20000000000005,331.0,49.0,0.2918303220738413,0.25746268656716415,0.4308719560094265,0.01983503534956795,1.5383685800604232,0
403-4298,157,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,628.7,326.0,65.09,0.36551614442500396,0.2352473357722284,0.38396691585811993,0.015269603944647684,1.9285276073619633,4
409-3786,120,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,609.6999999999999,277.0,62.61000000000001,0.27062489749056917,0.5202558635394456,0.1955059865507627,0.013613252419222571,2.2010830324909745,4
337-4697,103,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,643.7,304.0,63.86,0.2874009631816063,0.34690073015379835,0.34612397079384805,0.01957433587074724,2.1174342105263158,4
383-1509,98,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,591.6999999999999,347.0,57.120000000000005,0.272097346628359,0.3226297110021971,0.3848233902315363,0.020449552137907726,1.705187319884726,4
359-9794,125,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,593.8,319.0,53.78999999999999,0.21337150555742676,0.3469181542606939,0.4173122263388347,0.022398113843044798,1.8614420062695924,4
407-7035,63,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,449.29999999999995,275.0,36.48,0.13109281103939463,0.37747607389272203,0.47050968172713115,0.020921433340752284,1.6338181818181816,4
363-1069,36,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,610.0,343.0,66.75,0.3226229508196721,0.4178688524590164,0.22672131147540986,0.03278688524590164,1.7784256559766765,0
391-4652,64,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,386.59999999999997,317.0,47.010000000000005,0.4205897568546301,0.3939472322814279,0.1487325400931195,0.03673047077082256,1.219558359621451,4
355-6837,74,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,681.8,281.0,76.91000000000001,0.41434438251686717,0.322528600762687,0.24933998239953067,0.013787034320915225,2.4263345195729538,4
409-1244,112,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,458.79999999999995,320.0,43.410000000000004,0.24782040104620753,0.3432868352223191,0.38709677419354843,0.021795989537925022,1.4337499999999999,0
